module	Compound	kME_module
black	Srpr	0.98
black	Rpn1	0.97
black	Stt3a	0.97
black	Clptm1l	0.97
black	Ssr3	0.97
black	Cyb5r1	0.96
black	Wfs1	0.96
black	Tmem97	0.96
black	Ppapdc1b	0.96
black	Canx	0.96
black	Sec61a1	0.95
black	Smim14	0.95
black	Serp1	0.95
black	Spcs2	0.95
black	Hmox1	0.94
black	Ctage5	0.94
black	Edem2	0.94
black	Vmp1	0.94
black	Prkcsh	0.94
black	Txndc5	0.94
black	Slc7a3	0.94
black	Uggt1	0.94
black	Lonp1	0.94
black	Aldh1l2	0.94
black	Stt3b	0.94
black	Lman1	0.94
black	Slc39a9	0.93
black	Spcs3	0.93
black	Ssr2	0.93
black	Impdh1	0.93
black	Ostc	0.93
black	Vipr2	0.93
black	Slc24a3	0.93
black	Cpox	0.93
black	Srprb	0.93
black	Lman2	0.93
black	Vcp	0.93
black	Edem3	0.93
black	Calr	0.93
black	Eif3c	0.93
black	Copa	0.92
black	Mcfd2	0.92
black	Hdlbp	0.92
black	Slc33a1	0.92
black	Nbas	0.92
black	Gns	0.92
black	Slc35b1	0.92
black	Serinc1	0.92
black	Saraf	0.92
black	Sqstm1	0.92
black	Erlin1	0.92
black	Hspa13	0.91
black	Rrbp1	0.91
black	Tram1	0.91
black	Yipf2	0.91
black	Snd1	0.91
black	Tmed9	0.91
black	Dhrs7	0.91
black	Ssr1	0.91
black	Xpot	0.91
black	Scpep1	0.91
black	Pabpc4	0.91
black	Ccdc47	0.91
black	Slc35f5	0.91
black	Smap1	0.91
black	H13	0.91
black	Rer1	0.91
black	BC003331	0.90
black	Rpl10	0.90
black	Mettl9	0.90
black	Gorasp2	0.90
black	Rpl4	0.90
black	Srp72	0.90
black	Rexo2	0.90
black	Lrrc59	0.90
black	Erp44	0.90
black	Bet1	0.90
black	Derl1	0.90
black	Atf5	0.90
black	Tapbpl	0.90
black	Fam129a	0.90
black	Dpp3	0.90
black	Pdia5	0.90
black	Psmd11	0.90
black	Cog6	0.90
black	Pmm1	0.90
black	Uba5	0.90
black	Dnaja3	0.89
black	Gng5	0.89
black	Alg11	0.89
black	Nfu1	0.89
black	Lgi2	0.89
black	Ufm1	0.89
black	Alg2	0.89
black	Slc39a7	0.89
black	Tvp23b	0.89
black	Fam134b	0.89
black	Hid1	0.89
black	Arhgef2	0.89
black	Elovl7	0.89
black	Fkbp11	0.89
black	Tmem56	0.89
black	Sec24d	0.89
black	Srm	0.89
black	Kars	0.89
black	Armcx2	0.89
black	Slc25a44	0.89
black	Lhfpl2	0.89
black	Slc30a7	0.89
black	Atf6	0.89
black	Nup93	0.89
black	Nucb2	0.89
black	Bhlha15	0.89
black	Ufl1	0.88
black	Tmem248	0.88
black	Mybbp1a	0.88
black	Magt1	0.88
black	Vimp	0.88
black	Mia3	0.88
black	Nupr1	0.88
black	Sel1l	0.88
black	Fndc3b	0.88
black	Hyou1	0.88
black	Scly	0.88
black	Acot2	0.88
black	Uso1	0.88
black	Chrna7	0.88
black	Tmem214	0.88
black	Mfsd11	0.88
black	3110043O21Rik	0.88
black	Dlgap1	0.88
black	Copg1	0.88
black	Sec11c	0.88
black	AU040320	0.87
black	Btf3	0.87
black	Uqcrq	0.87
black	Pycr1	0.87
black	Gpr108	0.87
black	Eif4g2	0.87
black	Ide	0.87
black	Emc3	0.87
black	Lgals8	0.87
black	Arcn1	0.87
black	Npc1	0.87
black	Tmed10	0.87
black	Agap1	0.87
black	Tmed2	0.87
black	Tkt	0.87
black	Abcb6	0.87
black	Txnrd1	0.87
black	Nploc4	0.87
black	Mogs	0.87
black	Chl1	0.87
black	Tfg	0.87
black	Ybx3	0.87
black	Acsl4	0.86
black	Mydgf	0.86
black	Hspa9	0.86
black	Eif2ak3	0.86
black	Zmpste24	0.86
black	Emc7	0.86
black	Arf4	0.86
black	Gpr137b-ps	0.86
black	Bfar	0.86
black	Gosr2	0.86
black	Leprotl1	0.86
black	Tmem167b	0.86
black	Angptl6	0.86
black	Arf1	0.86
black	Ddr2	0.86
black	Gclc	0.86
black	Serinc3	0.86
black	Smyd5	0.86
black	Gnpnat1	0.85
black	Dnajb11	0.85
black	Rnh1	0.85
black	Stk32a	0.85
black	Stbd1	0.85
black	Slc4a10	0.85
black	Nans	0.85
black	Set	0.85
black	Creb3	0.85
black	Kcnt2	0.85
black	Slc16a1	0.85
black	Elmo1	0.85
black	Ap3b2	0.85
black	Gpr85	0.85
black	Rhbdd1	0.85
black	Copb1	0.85
black	Slc25a39	0.85
black	Hax1	0.85
black	Erp29	0.85
black	Arhgap1	0.85
black	Apmap	0.85
black	Clint1	0.85
black	Sec22b	0.85
black	L1cam	0.84
black	Mtdh	0.84
black	Naaa	0.84
black	Mettl1	0.84
black	Paqr3	0.84
black	Krtcap2	0.84
black	Srp9	0.84
black	Ric3	0.84
black	Eif4g1	0.84
black	Mknk1	0.84
black	Plcxd2	0.84
black	Tcea1	0.84
black	Yipf5	0.84
black	Gle1	0.84
black	Cnppd1	0.84
black	Eaf1	0.84
black	Itfg3	0.84
black	Lactb2	0.84
black	Osbpl2	0.84
black	Kcnh1	0.84
black	Slc30a4	0.84
black	Hapln4	0.83
black	Napb	0.83
black	Cdipt	0.83
black	Mfsd6	0.83
black	Hsp90b1	0.83
black	Tm9sf4	0.83
black	Pdia3	0.83
black	Aup1	0.83
black	Hspa5	0.83
black	Dpagt1	0.83
black	Septin11	0.83
black	Dnajc3	0.83
black	Rint1	0.83
black	Edem1	0.83
black	Arfgap3	0.83
black	Ipo4	0.82
black	Tspan31	0.82
black	Slc30a5	0.82
black	Surf4	0.82
black	Mtm1	0.82
black	Atf6b	0.82
black	Hfe	0.82
black	Cope	0.81
black	Cdc42se2	0.81
black	Tmem258	0.81
black	Prrc1	0.81
black	Txndc11	0.81
black	Rnf11	0.81
black	Golim4	0.81
black	Fam171b	0.81
black	Ficd	0.81
black	Psmd8	0.81
black	Chmp4b	0.81
black	Pabpc1	0.81
black	Kdelc1	0.80
black	Zfp106	0.80
black	Tor1b	0.80
black	Lclat1	0.80
black	Cers6	0.80
black	Manf	0.80
black	Shc1	0.80
black	4933434E20Rik	0.80
black	Sec61g	0.80
black	Erlec1	0.80
black	Tbc1d20	0.80
black	Tex2	0.80
black	Casp4	0.80
black	Pttg1ip	0.79
black	Lcn2	0.79
black	Lbh	0.79
black	Acp1	0.79
black	Plod3	0.79
black	Nabp2	0.79
black	Scamp4	0.79
black	Man1a	0.79
black	Iscu	0.79
black	Pdia6	0.78
black	Cask	0.78
black	Coa5	0.78
black	Txn2	0.78
black	Tmem185b	0.78
black	Gfpt1	0.78
black	Wls	0.78
black	Lrrn1	0.78
black	Psma3	0.78
black	Slc31a1	0.78
black	Arhgef5	0.78
black	Tbrg1	0.78
black	Phb2	0.78
black	Sys1	0.78
black	Lmf1	0.78
black	Hsd17b12	0.78
black	Eif2b5	0.78
black	Sdf2l1	0.77
black	Ndufs2	0.77
black	Tmem179	0.77
black	Mapk4	0.77
black	Yif1a	0.77
black	Thsd7a	0.77
black	Snx19	0.77
black	Rfk	0.77
black	Zbtb18	0.76
black	Ero1l	0.76
black	Scyl1	0.76
black	Kcnip4	0.76
black	Pdcd6ip	0.76
black	Amfr	0.76
black	Golt1b	0.76
black	Unc50	0.76
black	Alg5	0.76
black	4933421O10Rik	0.76
black	Zbtb7b	0.76
black	Dusp23	0.76
black	Msantd3	0.76
black	Dpm2	0.75
black	Dhx34	0.75
black	Apopt1	0.75
black	Ift20	0.75
black	Ap2m1	0.75
black	1110002L01Rik	0.75
black	Rpl10a	0.75
black	Hspe1	0.75
black	Ildr1	0.75
black	Slc39a11	0.75
black	Atic	0.75
black	Psmd2	0.75
black	Tmem184c	0.75
black	Cyp20a1	0.75
black	P3h1	0.74
black	Tmed5	0.74
black	Bex4	0.74
black	Arl1	0.74
black	Ppapdc2	0.74
black	Copb2	0.74
black	Tm9sf3	0.74
black	Slc35c2	0.74
black	Plekha3	0.74
black	Calu	0.74
black	Dram2	0.74
black	Ept1	0.74
black	Rnf13	0.74
black	Rnf10	0.74
black	Cnpy3	0.74
black	Creld1	0.74
black	Ufc1	0.74
black	Atp5g1	0.73
black	Eid1	0.73
black	Pycr2	0.73
black	Gnai2	0.73
black	Cdsn	0.73
black	Ptp4a2	0.73
black	St7	0.73
black	Ccz1	0.73
black	Pm20d2	0.73
black	Mt2	0.73
black	Cycs	0.72
black	Amz2	0.72
black	Pdcl	0.72
black	Anxa10	0.72
black	St3gal3	0.72
black	Arel1	0.72
black	Gnpda2	0.71
black	Csrp1	0.71
black	Nus1	0.71
black	Mtarc2	0.71
black	Sfxn1	0.71
black	Ncln	0.71
black	Samm50	0.71
black	Emg1	0.71
black	Tmco1	0.71
black	Tmem33	0.71
black	Sdcbp	0.71
black	Mrpl30	0.71
black	Gnat2	0.71
black	Acbd3	0.71
black	Ubfd1	0.71
black	Dnajc6	0.70
black	Cct7	0.70
black	1810058I24Rik	0.70
black	Dnajc10	0.70
black	Spg20	0.70
black	Smim10l2a	0.70
black	1110007C09Rik	0.70
black	Ranbp1	0.70
black	Mtap	0.70
black	Tmem117	0.70
black	Sft2d2	0.69
black	Pbdc1	0.69
black	Fam120a	0.69
black	Emilin1	0.69
black	Mvp	0.69
black	Atp11a	0.69
black	Hopx	0.69
black	Selk	0.69
black	Tceal8	0.69
black	Grina	0.69
black	Dse	0.69
black	Fam101a	0.69
black	Rragd	0.69
black	Cdk16	0.69
black	Tomm5	0.69
black	Fastk	0.68
black	Pdia4	0.68
black	Sec16b	0.68
black	Rpl18a	0.68
black	Tmem234	0.68
black	Tcta	0.68
black	Nipa1	0.68
black	Glt1d1	0.68
black	Glis3	0.68
black	Mrpl55	0.68
black	Mmachc	0.68
black	Timm21	0.68
black	Pi4k2b	0.67
black	Slc45a4	0.67
black	Gcn1l1	0.67
black	Pycrl	0.67
black	Ppap2a	0.67
black	Sprr1a	0.67
black	Cct3	0.67
black	Slc35a4	0.67
black	Gtf2e1	0.67
black	Kcnk1	0.67
black	Ccpg1	0.66
black	Unc13b	0.66
black	Slc35c1	0.66
black	Lsm12	0.66
black	Ufsp2	0.66
black	Lrrc8a	0.66
black	Ubxn2a	0.66
black	Tusc1	0.66
black	Dym	0.66
black	Sgpp1	0.66
black	Bex1	0.66
black	Trak2	0.66
black	Rab1	0.66
black	Gpx4	0.66
black	Tmeff1	0.65
black	Tmem160	0.65
black	3632454L22Rik	0.65
black	Slc17a5	0.65
black	Sdr39u1	0.65
black	Hacd1	0.65
black	Mrpl57	0.65
black	Eri3	0.65
black	Ulk2	0.65
black	Map2k3	0.65
black	Acaa1a	0.65
black	Trnp1	0.65
black	Atp6v0a2	0.65
black	Letmd1	0.65
black	Ccdc107	0.65
black	Dolk	0.65
black	Slc35g2	0.64
black	Sec62	0.64
black	Ttc7b	0.64
black	Ccny	0.64
black	Mrpl20	0.64
black	Mlec	0.64
black	Bmi1	0.64
black	Tmf1	0.64
black	Nudt9	0.64
black	Epcam	0.64
black	Tmtc1	0.64
black	Slco1a5	0.64
black	Tex261	0.64
black	Syvn1	0.64
black	Cyb5a	0.64
black	Gpd1l	0.63
black	Ap3m1	0.63
black	Cadm3	0.63
black	Flnb	0.63
black	Alg3	0.63
black	Gmppa	0.63
black	Fibp	0.63
black	Myd88	0.63
black	Bax	0.63
black	Mrpl52	0.63
black	Rab34	0.63
black	Coro7	0.63
black	Ormdl1	0.63
black	Sar1a	0.63
black	Emc6	0.63
black	Ctns	0.63
black	Msi2	0.63
black	Copz1	0.62
black	Uap1l1	0.62
black	Pcbp1	0.62
black	Mt1	0.62
black	Stard3nl	0.62
black	Cs	0.62
black	Ntn1	0.62
black	Ak2	0.62
black	Ppa1	0.62
black	Pdzd11	0.62
black	Chmp2b	0.62
black	Kdelr3	0.62
black	Ube4a	0.61
black	Kdelr2	0.61
black	Chid1	0.61
black	Serpine2	0.61
black	Sec24c	0.61
black	Bex2	0.61
black	Zwint	0.61
black	Pitrm1	0.60
black	Arl6ip4	0.60
black	Yipf6	0.60
black	Arrdc3	0.60
black	Ugt1a6a	0.60
black	Ankrd49	0.60
black	Mib1	0.60
black	Casc4	0.60
black	Parp10	0.60
black	AI987944	0.60
black	Gsk3a	0.60
black	Dctn5	0.60
black	Capn2	0.60
black	Rps16	0.60
black	Cyp7b1	0.60
black	Wrb	0.60
black	Neu1	0.60
black	Tefm	0.60
black	Frrs1	0.59
black	Hs6st1	0.59
black	Rabif	0.59
black	Pdcd6	0.59
black	Bccip	0.59
black	Msantd4	0.59
black	Mrps28	0.59
black	Elp3	0.59
black	Gmds	0.59
black	Kcnh5	0.59
black	Nipal2	0.59
black	C2cd4c	0.59
black	Zdhhc22	0.59
black	Psma1	0.58
black	Krt8	0.58
black	Emp2	0.58
black	Tbcb	0.58
black	Tmem42	0.58
black	Nup210	0.58
black	Slc17a9	0.58
black	Stk4	0.57
black	Tssc4	0.57
black	Creld2	0.57
black	Mrpl54	0.57
black	Klhl21	0.57
black	Sdhb	0.57
black	AI506816	0.57
black	Eogt	0.57
black	Fam172a	0.57
black	Gpr180	0.57
black	Golga7	0.57
black	Pgr15l	0.57
black	Rbck1	0.56
black	Dnlz	0.56
black	Marveld1	0.56
black	Pam	0.56
black	Ubac2	0.56
black	Obsl1	0.56
black	Gne	0.56
black	Nipa2	0.56
black	Gigyf2	0.56
black	Slc46a3	0.56
black	1110065P20Rik	0.56
black	Pex11a	0.55
black	Qpctl	0.55
black	Tmem259	0.55
black	Zbed5	0.55
black	Tmem123	0.55
black	Fam195b	0.55
black	Idua	0.55
black	Fkbp2	0.55
black	Fntb	0.55
black	Cox15	0.55
black	F8a	0.55
black	Rabggta	0.54
black	Ifngr2	0.54
black	Ppm1h	0.54
black	Ptdss1	0.54
black	Ckap4	0.54
black	Sec13	0.54
black	Ccdc71l	0.54
black	2700060E02Rik	0.54
black	Hnf1a	0.54
black	Gna12	0.54
black	Eef2kmt	0.54
black	Scamp3	0.54
black	Ubb	0.54
black	Rbm15b	0.54
black	Igsf11	0.54
black	Dnajc4	0.53
black	Golph3	0.53
black	Gskip	0.53
black	Alg6	0.53
black	Hypk	0.52
black	Tprgl	0.52
black	Commd3	0.52
black	Ikbkg	0.52
black	Uqcrc2	0.52
black	Ltbr	0.52
black	Tacc2	0.52
black	Focad	0.52
black	Rft1	0.52
black	Alg1	0.52
black	2900097C17Rik	0.52
black	Fktn	0.52
black	Ephx1	0.51
black	Tes	0.51
black	Xkr4	0.51
black	Prorsd1	0.51
black	Snrpc	0.51
black	Retsat	0.51
black	Ddx54	0.51
black	Cog5	0.51
black	Cnnm2	0.50
black	Rbm45	0.50
black	Ube2g1	0.50
black	Cdc34	0.50
black	Fbxw8	0.50
black	Cdk7	0.50
black	Tmem208	0.50
black	Mbtps2	0.50
black	Kdm1b	0.50
black	Traf3	0.49
black	Fam8a1	0.49
black	Tmem219	0.49
black	Sema3a	0.49
black	Pip4k2a	0.49
black	Slc39a3	0.49
black	Tmem192	0.49
black	Clptm1	0.49
black	Sphkap	0.49
black	Ccdc90b	0.49
black	Csnk2b	0.49
black	Serf2	0.49
black	Cd276	0.49
black	Kat2a	0.49
black	Maoa	0.48
black	Cog7	0.48
black	Phactr2	0.48
black	Guk1	0.47
black	Fam213a	0.47
black	P2rx4	0.47
black	Akr1c14	0.47
black	Gabra4	0.47
black	Ly96	0.47
black	Dnajc18	0.47
black	Pink1	0.47
black	Smyd2	0.47
black	Afg3l1	0.46
black	Fam89b	0.46
black	Bpgm	0.46
black	Ubl4a	0.46
black	Snap23	0.46
black	Men1	0.46
black	Suclg1	0.46
black	Atp6v0d1	0.46
black	Pcbp2	0.46
black	Dbt	0.46
black	Sft2d3	0.46
black	Dhx32	0.45
black	Slc25a35	0.45
black	Tmem45a	0.45
black	Galnt7	0.45
black	Mrpl42	0.45
black	Rp9	0.45
black	Tmem141	0.45
black	Ccnh	0.45
black	Lmf2	0.45
black	Kxd1	0.45
black	Dctn6	0.45
black	Chmp2a	0.45
black	Rnf14	0.44
black	Edaradd	0.44
black	Tusc2	0.44
black	Cox16	0.44
black	Slc39a13	0.44
black	Gm14403	0.44
black	Gnpat	0.44
black	Gde1	0.44
black	Mettl4	0.44
black	Abhd14a	0.44
black	Aldh5a1	0.44
black	Rnft1	0.44
black	Rpl30	0.44
black	Ift122	0.44
black	Atp6v1b2	0.44
black	Ino80b	0.43
black	2310039H08Rik	0.43
black	Slc30a6	0.43
black	Isca2	0.43
black	Fbxw5	0.43
black	Nudcd2	0.43
black	Lrrc41	0.43
black	Csnk2a1	0.43
black	Zfp764	0.43
black	Mtg1	0.43
black	Gale	0.42
black	Cndp2	0.42
black	B3galt6	0.42
black	Nutf2	0.42
black	Keap1	0.42
black	Sil1	0.42
black	Uxs1	0.42
black	Mcoln1	0.42
black	Gm1821	0.42
black	Snord99	0.41
black	Coq3	0.41
black	Rfesd	0.41
black	Ttc26	0.41
black	Dnajc15	0.41
black	Map1lc3a	0.41
black	Barx2	0.41
black	Chmp1a	0.41
black	Snrnp27	0.41
black	Dnajc30	0.41
black	Ttc30a1	0.40
black	Scamp2	0.40
black	Rdh14	0.40
black	Fam102b	0.40
black	Sar1b	0.40
black	Zfp40	0.40
black	Igf2r	0.40
black	Rps15a-ps6	0.40
black	Coasy	0.39
black	Pdzk1ip1	0.39
black	Hras	0.39
black	Cdk4	0.39
black	Snapc5	0.38
black	Nras	0.38
black	Necab2	0.38
black	Hsph1	0.38
black	Serpinb6a	0.38
black	Mrpl17	0.38
black	Psmd13	0.37
black	Elovl1	0.37
black	Gm35612	0.37
black	Ubl7	0.37
black	Slc25a16	0.37
black	B3galt4	0.37
black	Lppr4	0.37
black	Polr2j	0.37
black	Cdkn2aipnl	0.37
black	Ndufv1	0.37
black	Olfm3	0.37
black	Arl8b	0.37
black	Eif3f	0.37
black	Lmtk2	0.36
black	Oat	0.36
black	Mmgt1	0.36
black	1810022K09Rik	0.36
black	Tor1aip2	0.36
black	Dusp7	0.36
black	Ccdc58	0.36
black	Trim12c	0.36
black	Tmem107	0.36
black	Oxr1	0.35
black	Clcc1	0.35
black	Trpc4ap	0.34
black	Arpc2	0.34
black	St13	0.34
black	Tmem238	0.34
black	Gpam	0.34
black	Rab18	0.34
black	Syt5	0.33
black	D8Ertd738e	0.33
black	1110001J03Rik	0.33
black	Rsph3b	0.33
black	Bola1	0.32
black	Rreb1	0.32
black	Zdhhc4	0.32
black	Mterf1a	0.32
black	Polr2f	0.32
black	Mir6402	0.32
black	Ap2b1	0.32
black	Nudt5	0.32
black	Lsamp	0.31
black	Bmyc	0.31
black	Zdhhc9	0.31
black	Rwdd1	0.31
black	Ifnar2	0.31
black	Cthrc1	0.30
black	Ugp2	0.30
black	Psmd10	0.29
black	Tspan4	0.29
black	Lsm4	0.29
black	Nfya	0.29
black	Med30	0.29
black	Mmp24	0.28
black	Mir1839	0.28
black	Pcnxl4	0.28
black	Mtpn	0.28
black	Tbc1d13	0.28
black	Eif1b	0.27
black	Lmbrd2	0.27
black	Eif2s3x	0.27
black	B4galt3	0.27
black	Mir384	0.27
black	Nefh	0.26
black	Khdrbs2	0.26
black	Wdr61	0.26
black	Gpr27	0.25
black	Pdcd10	0.25
black	Zfp354c	0.24
black	Srek1ip1	0.24
black	Timm13	0.23
black	Mir7682	0.23
black	Scrn2	0.22
black	Trim21	0.21
black	Dguok	0.21
black	Arrb1	0.20
black	Timm8b	0.20
black	Sephs2	0.18
black	D330023K18Rik	0.18
black	Mir743	0.17
black	Papss1	0.17
black	Dhx8	0.16
black	Cldnd1	0.16
black	Mir1191	0.14
black	C2cd2l	0.14
black	Hibadh	0.10
black	Gdi2	0.06
black	Ebp	0.05
blue	Vwce	0.98
blue	Sfi1	0.97
blue	Fam178b	0.97
blue	Flnc	0.97
blue	Ptprv	0.97
blue	Dnah17	0.97
blue	Dnah10	0.97
blue	Slc13a3	0.97
blue	Prss56	0.97
blue	Col2a1	0.97
blue	Col13a1	0.96
blue	Rin3	0.96
blue	Mybpc2	0.96
blue	Sftpb	0.96
blue	Kremen2	0.96
blue	Myom3	0.96
blue	Ryr1	0.96
blue	Tulp1	0.96
blue	Megf6	0.96
blue	Stab1	0.96
blue	Dscaml1	0.96
blue	Atp8b3	0.96
blue	Fam65c	0.96
blue	Sds	0.96
blue	Padi3	0.96
blue	Tgm1	0.96
blue	Tgm2	0.96
blue	Ceacam16	0.96
blue	Papln	0.96
blue	BC026585	0.96
blue	Atp2c2	0.96
blue	Treh	0.96
blue	Mhrt	0.96
blue	Aspg	0.96
blue	Sema3b	0.96
blue	Clcnka	0.96
blue	Dlec1	0.96
blue	Matn1	0.96
blue	Papl	0.95
blue	Myo15	0.95
blue	Rgs14	0.95
blue	Ltbp2	0.95
blue	Fxyd1	0.95
blue	Col17a1	0.95
blue	Trim54	0.95
blue	Slc2a7	0.95
blue	Sema5b	0.95
blue	Baiap2l2	0.95
blue	Tsks	0.95
blue	Pld4	0.95
blue	Odf3	0.95
blue	Adamts7	0.95
blue	Hhatl	0.95
blue	Itgb4	0.95
blue	Padi1	0.95
blue	Notch3	0.95
blue	Asic4	0.95
blue	Cnn1	0.95
blue	Plch2	0.95
blue	Matn4	0.95
blue	1700018B08Rik	0.95
blue	Slc11a1	0.95
blue	Cela3b	0.95
blue	Igdcc3	0.95
blue	Rpl3l	0.95
blue	Col5a3	0.95
blue	Gpr132	0.95
blue	Col9a2	0.95
blue	Dnah2	0.95
blue	Lman1l	0.95
blue	Padi4	0.95
blue	Krt80	0.95
blue	Cpne7	0.95
blue	Krt42	0.95
blue	Tcf7l1	0.95
blue	Ntrk1	0.95
blue	Lims2	0.95
blue	Ly6h	0.94
blue	AB124611	0.94
blue	Alox12b	0.94
blue	Wnt11	0.94
blue	Tnnt2	0.94
blue	Mag	0.94
blue	Col5a1	0.94
blue	Dio3os	0.94
blue	Kcp	0.94
blue	Col7a1	0.94
blue	Aire	0.94
blue	Aqp2	0.94
blue	Mroh2a	0.94
blue	1700001K19Rik	0.94
blue	Col6a1	0.94
blue	Lrmp	0.94
blue	Vsig8	0.94
blue	Tuba3a	0.94
blue	Lamc3	0.94
blue	Tead2	0.94
blue	Acacb	0.94
blue	Bpifb5	0.94
blue	9230102O04Rik	0.94
blue	Tie1	0.94
blue	Fcgbp	0.94
blue	Myo18b	0.94
blue	Pdzd2	0.94
blue	Ggt1	0.94
blue	Exoc3l4	0.94
blue	Rapgef3	0.94
blue	Npffr1	0.94
blue	Capn12	0.94
blue	Nphs1	0.94
blue	Eya2	0.94
blue	Aqp3	0.94
blue	Tepp	0.94
blue	Drd4	0.94
blue	Atp2a1	0.94
blue	Comp	0.94
blue	Radil	0.94
blue	Cacna1i	0.93
blue	F12	0.93
blue	Nr1h3	0.93
blue	Hmha1	0.93
blue	Tdrd9	0.93
blue	Slc39a4	0.93
blue	Amhr2	0.93
blue	Ntn5	0.93
blue	Grin2c	0.93
blue	Sp110	0.93
blue	Ssu2	0.93
blue	Podn	0.93
blue	Gal	0.93
blue	Arhgap9	0.93
blue	Kirrel3	0.93
blue	Ccdc108	0.93
blue	Rgs6	0.93
blue	Nkx2-9	0.93
blue	Rbfox3	0.93
blue	Mslnl	0.93
blue	Spi1	0.93
blue	Trpv4	0.93
blue	Scube1	0.93
blue	Wwc1	0.93
blue	Baiap3	0.93
blue	Ctrc	0.93
blue	Nos3	0.93
blue	Znrf4	0.93
blue	Mfi2	0.93
blue	Pstpip1	0.93
blue	Itga5	0.93
blue	Acap1	0.93
blue	Lgals7	0.93
blue	Hpd	0.93
blue	Tinagl1	0.93
blue	Tmprss9	0.93
blue	Tmc8	0.93
blue	Scube3	0.93
blue	Lgr6	0.93
blue	Wdfy4	0.93
blue	Morn3	0.93
blue	Klrg2	0.93
blue	Map3k6	0.93
blue	Ptgis	0.93
blue	Tmem82	0.93
blue	Unc13d	0.93
blue	Slc12a7	0.93
blue	Cela3a	0.92
blue	Adap2	0.92
blue	Cdh15	0.92
blue	Capg	0.92
blue	Hspg2	0.92
blue	Fbxo24	0.92
blue	Myh14	0.92
blue	Adcy3	0.92
blue	Car9	0.92
blue	Cdhr2	0.92
blue	Bpifb3	0.92
blue	Tfap2e	0.92
blue	Scn4a	0.92
blue	B4galnt3	0.92
blue	Kif26a	0.92
blue	Gm10354	0.92
blue	Col4a2	0.92
blue	F7	0.92
blue	Ace3	0.92
blue	Lrg1	0.92
blue	Il34	0.92
blue	Clic3	0.92
blue	Ccdc13	0.92
blue	Slc22a7	0.92
blue	Dux	0.92
blue	Cyba	0.92
blue	Bpifb4	0.92
blue	Gcgr	0.92
blue	Gm53	0.92
blue	Col16a1	0.92
blue	Cblc	0.92
blue	Col26a1	0.92
blue	Smo	0.92
blue	Rnf207	0.92
blue	Izumo1	0.92
blue	Spatc1l	0.92
blue	Wnt10b	0.92
blue	Lypd5	0.92
blue	6820408C15Rik	0.92
blue	Paqr6	0.92
blue	Cabp2	0.92
blue	Ifnl2	0.92
blue	Notum	0.92
blue	Bpifb1	0.92
blue	Chit1	0.92
blue	Efs	0.91
blue	A230065H16Rik	0.91
blue	Clcnkb	0.91
blue	Nkpd1	0.91
blue	Acp5	0.91
blue	4931409K22Rik	0.91
blue	Slc12a3	0.91
blue	Pkp3	0.91
blue	Cyp2d26	0.91
blue	Gm11744	0.91
blue	Prodh	0.91
blue	Kcnk4	0.91
blue	Ctrb1	0.91
blue	A530032D15Rik	0.91
blue	E130218I03Rik	0.91
blue	Alox15	0.91
blue	Zdhhc19	0.91
blue	Tnnt1	0.91
blue	Bmp8a	0.91
blue	Gm5294	0.91
blue	Cfap46	0.91
blue	Gm17019	0.91
blue	Odf3l2	0.91
blue	Cnfn	0.91
blue	Begain	0.91
blue	Susd2	0.91
blue	Serinc2	0.91
blue	Slc26a10	0.91
blue	Lhx3	0.91
blue	Alk	0.91
blue	Gm15179	0.91
blue	Zmynd15	0.91
blue	Vwa7	0.91
blue	Egflam	0.91
blue	Rasal1	0.91
blue	Dysf	0.91
blue	Cntn2	0.91
blue	Lamb2	0.91
blue	Dusp13	0.91
blue	Pth1r	0.91
blue	Kcnh4	0.91
blue	Spdef	0.91
blue	Grifin	0.91
blue	Icam1	0.91
blue	Rasal3	0.91
blue	Kif17	0.91
blue	Rtn4rl2	0.91
blue	Adad2	0.91
blue	Esyt3	0.91
blue	Lmx1b	0.91
blue	Trpv3	0.91
blue	Padi2	0.91
blue	Ccdc33	0.90
blue	Slc47a2	0.90
blue	Dmkn	0.90
blue	Bpi	0.90
blue	Cyp26c1	0.90
blue	Myrf	0.90
blue	Pitx3	0.90
blue	S1pr5	0.90
blue	Slc25a18	0.90
blue	C1qc	0.90
blue	Ihh	0.90
blue	Pld2	0.90
blue	Mmp9	0.90
blue	Fgf8	0.90
blue	Tnni1	0.90
blue	Arhgef15	0.90
blue	Mylk2	0.90
blue	Col9a3	0.90
blue	Sorbs3	0.90
blue	Tlx2	0.90
blue	Nid2	0.90
blue	Otop2	0.90
blue	Crb2	0.90
blue	Rtkn	0.90
blue	Pecam1	0.90
blue	Fscn2	0.90
blue	St14	0.90
blue	Dnaaf3	0.90
blue	Adgrb1	0.90
blue	Tjp3	0.90
blue	Cys1	0.90
blue	Jsrp1	0.90
blue	Bzrap1	0.90
blue	Grm2	0.90
blue	Kank2	0.90
blue	Adamts10	0.90
blue	Myo1a	0.90
blue	Cldn14	0.90
blue	Tnfaip2	0.90
blue	Lypd8	0.90
blue	Slc4a1	0.90
blue	Als2cl	0.90
blue	Gpbar1	0.89
blue	Igfbp2	0.89
blue	Syce1l	0.89
blue	Utf1	0.89
blue	Pnpla5	0.89
blue	1810013A23Rik	0.89
blue	Il17b	0.89
blue	Prkcg	0.89
blue	Pltp	0.89
blue	Trim47	0.89
