"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"Tg_0h"	"Tg_1h"	"Tg_24h"	"Tg_2h"	"Tg_6h"
"0610005C13Rik"	-3.4549289562019	-3.14415517236107	-3.4977046699118	-3.09516916911095	-3.32185117244116	-3.4549289562019	-0.85736093875095	-2.88219378931354	-0.359089248500986	-0.551364585962047
"0610007P14Rik"	5.34822311043333	5.45543708863225	5.54760555150089	5.37898939893569	5.37237068877604	5.34822311043333	5.36837133611784	5.81382583716112	5.33421594388409	5.43509288595468
"0610009B22Rik"	5.06639529623884	4.98768128984937	5.06870230520765	5.14108035920685	5.04669547590327	5.06639529623884	4.87645333335169	5.00716741839537	4.88847802683865	4.8917399198196
"0610009L18Rik"	1.12260051566853	0.777917608364852	0.840539416312848	-1.11731679367527	0.583075658304257	1.12260051566853	1.35924251230668	0.851972262232112	0.604452809539766	1.3703864208037
"0610009O20Rik"	5.84393996037977	5.84981143833329	5.93150694249123	5.59950969443935	5.88468409961069	5.84393996037977	5.79121110769946	6.28792971653469	5.68576819367923	5.89871775435364
"0610010F05Rik"	5.59998978138445	5.59433511284573	5.6983511476402	5.69775107945892	5.7060356302444	5.59998978138445	5.47605409717457	5.97040910151055	5.43264754093582	5.4248798358081
"0610010K14Rik"	3.99792879053622	3.780612662353	4.12825855121276	3.54352709726293	3.84982024493757	3.99792879053622	4.01905989325892	4.07097578662702	3.52870251346083	3.86494760140349
"0610011F06Rik"	4.24690396888617	4.36941455915436	4.36411629037241	3.97821559313155	4.29629002772038	4.24690396888617	4.34232892360474	3.90407298045895	4.15644410481281	4.00834118264044
"0610012G03Rik"	2.63156852908855	2.89943821273659	2.61913968552697	0.619016591906967	2.66378452704835	2.63156852908855	2.90344517642653	3.16464365491668	2.66266615748807	2.71571699602884
"0610030E20Rik"	5.14988314362435	5.07765545653904	4.95513739352964	4.96259365289921	5.04623972513644	5.14988314362435	4.7320313404682	4.94850509849672	4.83897970226013	4.85360925687027
"0610031O16Rik"	-2.52545204304184	-3.01149423353647	-3.93097600210638	-3.30470431604818	-3.77372542160328	-2.52545204304184	-1.95397449163766	-3.93097600210638	-2.54035532838392	-2.71183861486502
"0610037L13Rik"	4.13260317619975	3.99305939063526	4.00932397854696	3.55227675355054	3.95093641140724	4.13260317619975	3.89203446706415	4.30089901359004	3.97984232528818	3.93946080400186
"0610038B21Rik"	-1.4131798642824	-0.915439017030807	-0.963512803176531	-1.75797426571174	-1.21477724409418	-1.4131798642824	-0.24806954070281	-0.662354552689013	-0.108771157898767	-1.00038803276615
"0610039H22Rik"	-0.156436311397481	-0.58868736484848	-0.951772076093889	-2.72098272109106	-0.859412467780179	-0.156436311397481	-0.724294527609936	1.61315359785107	0.579774449526299	2.045092362417
"0610039K10Rik"	-2.27778459758456	-2.6046261745603	-2.24850031930908	-2.99348415299737	-2.89045930689805	-2.27778459758456	-0.0957788641032793	-1.56617397241743	-0.636732941980819	-1.84068367965169
"0610040B10Rik"	1.1235419098093	0.325047931401901	1.02328902949216	0.821216885724553	0.731914433651381	1.1235419098093	0.71437654620018	0.833765366118576	0.792035265674274	0.921926593996401
"0610040F04Rik"	0.351045534928026	0.719605005119114	0.71009387918701	0.934587479654992	0.606263728231196	0.351045534928026	0.725514289238476	1.04603911263768	1.08032505210317	0.756648735540138
"0610040J01Rik"	6.54966066716895	6.56969182175786	6.60465032658934	6.30994989973299	6.52072905465607	6.54966066716895	6.59242934084575	5.99003924790637	6.41746216663865	6.29512526748999
"0610043K17Rik"	-2.74994250118182	-2.01632805874935	-2.69022074172237	-1.41905255008311	-2.97149037566526	-2.74994250118182	-0.912244242625003	-2.36701934098497	-1.25710225415843	-0.996712589897644
"1010001N08Rik"	-3.93097600210637	-3.56211878403106	-3.93097600210638	-3.52237327205651	-3.93097600210637	-3.93097600210637	-0.75001765461736	-3.93097600210638	-0.346814458912666	-1.44234004635544
"1110001J03Rik"	2.40371035137042	2.76084945618844	2.56739027287606	2.38708453427368	2.41535827443508	2.40371035137042	2.68887221973747	3.01078702390322	2.22712801417277	2.66733686196542
"1110002L01Rik"	4.20940211770024	4.22406992351961	4.38747824617261	3.77895381783482	4.29192253151342	4.20940211770024	4.24623587770866	5.09393002219229	4.17073186354095	4.29101195790983
"1110004E09Rik"	3.16601967498896	3.16053207083077	3.21808931830381	3.09845690315531	3.22774644355203	3.16601967498896	3.25156645184989	3.56728223464768	3.33221303367751	3.13540596588547
"1110004F10Rik"	6.40896191481887	6.48909359255485	6.52857918213196	6.34567524596709	6.42770590864206	6.40896191481887	6.3901161705134	6.74370144984048	6.31306773817753	6.60405407352119
"1110006O24Rik"	1.38484675903599	1.20339956912682	0.913760797979323	0.898295700106741	1.31889883459245	1.38484675903599	1.51951380207508	1.40228035282024	1.12222686596121	1.35056615899036
"1110007C09Rik"	3.58551925937962	3.56821754563372	3.79177473028991	3.30290048736794	3.67300067230688	3.58551925937962	3.94739888880426	4.30134589599378	3.80679545375623	3.96664027287837
"1110008F13Rik"	4.79997322495702	4.71760595038872	4.90173589899456	4.76523177360549	4.89193698991748	4.79997322495702	4.90268846636118	5.33800229477184	4.90620703023311	5.07137692386877
"1110008L16Rik"	4.03474475563506	4.04726450812927	4.14553387046161	4.05492234471687	3.89742574057796	4.03474475563506	3.91187385625492	4.30910664027808	3.96998415450848	4.19867817029866
