"gene"	"DMSO_0h"	"DMSO_1h"	"DMSO_24h"	"DMSO_2h"	"DMSO_6h"	"SW_0h"	"SW_1h"	"SW_24h"	"SW_2h"	"SW_6h"
"0610005C13Rik"	-3.52515518042902	-3.20282275699406	-3.56853473387559	-3.19023889698253	-3.38668193212169	-3.52515518042902	-1.46609279568257	-3.1834107287011	-2.06294237352899	-2.65134781827625
"0610007P14Rik"	5.32824676942009	5.42938857991014	5.532900477879	5.35381830659047	5.36290549036944	5.32824676942009	5.1615936957372	5.49975088348833	5.38577608630691	5.37785411041408
"0610009B22Rik"	5.0463938525017	4.96159904868611	5.05395822705449	5.11590814380632	5.0372003171954	5.0463938525017	4.64870697968531	4.99633659775112	4.78528655287505	4.8251132218828
"0610009L18Rik"	1.10058315868517	0.749640730159891	0.823240541445159	-1.18365529747985	0.569811917913094	1.10058315868517	1.23917790644519	0.9469388210781	1.08063856929027	1.1412289297541
"0610009O20Rik"	5.82399209495312	5.8237812809804	5.91682439731732	5.57434106066968	5.87525478307463	5.82399209495312	5.6390050879736	6.10183995796423	5.48806535444358	5.60725451936196
"0610010F05Rik"	5.58002967010946	5.56829586623509	5.68365435414543	5.67260028803308	5.69659528040764	5.58002967010946	5.54099910752411	5.70264411589744	5.57619914640941	5.47164581309924
"0610010K14Rik"	3.97778770268897	3.75436518333912	4.11338787746968	3.51803877363931	3.84011488320842	3.97778770268897	3.86375926820871	4.26522982781695	3.89837139779109	3.75733357647794
"0610011F06Rik"	4.22681192551929	4.34327079389469	4.34928524043513	3.95286427748923	4.28669260935042	4.22681192551929	4.25864802050961	4.55406751806617	4.28377214535627	4.35207705186944
"0610012G03Rik"	2.61101745200252	2.87292250430119	2.60378221718674	0.554992870048238	2.65365036757667	2.61101745200252	2.96770268298444	3.11539634102349	2.86513324020856	2.85259936297152
"0610030E20Rik"	5.1298860854803	5.05157518437495	4.94037447932232	4.93736629221153	5.03674431203521	5.1298860854803	4.92856576712512	4.86699252998898	5.05196165699207	4.96038420398823
"0610031O16Rik"	-2.58669478821224	-3.09546369386152	-4.01811815273666	-3.39884347547397	-3.85358988104233	-2.58669478821224	-4.01811815273666	-3.87043859388041	-3.56380233749401	-4.01811815273666
"0610037L13Rik"	4.11247266617708	3.96685174752527	3.99442996932616	3.52680304006013	3.94126955969346	4.11247266617708	3.92609071174244	4.01358691145668	3.90049305087726	4.04771576764979
"0610038B21Rik"	-1.4453903671981	-0.949041055462106	-0.987851814667838	-1.82289568481964	-1.23600149341126	-1.4453903671981	-0.0133523165190601	-1.14822229087122	-1.41200319229452	-0.502584826410111
"0610039H22Rik"	-0.181294431387667	-0.621479291154881	-0.975992612669683	-2.81697568131614	-0.882484588454595	-0.181294431387667	-1.60552451221588	0.2625391988509	0.248938321016915	-0.223291571937639
